Wavelength,,,,
nm,,,,
Type,DurSynth,DurSynth,DurSynth,DurSynth
AA,Cys,Glu,Phe,Try
experim,1,2,3,4
740,2.50446,2.17703,2.3137,1.07091
741,2.62215,2.27064,2.3589,1.24103
742,2.6395,2.16801,2.38095,1.08168
743,2.60313,2.20206,2.36515,1.19054
744,2.71374,2.35663,2.54538,1.27405
745,2.76519,2.34983,2.59229,1.33254
746,2.92078,2.35902,2.75145,1.32456
747,2.7519,2.22875,2.56522,1.07424
748,2.76592,2.14763,2.60873,1.13318
749,2.73626,2.16,2.58026,1.07621
750,2.72417,2.14899,2.55918,1.12996
751,2.61217,2.10853,2.30586,1.04121
752,2.42809,1.88102,2.02548,0.75898
753,2.40788,1.66001,1.90239,0.602849
754,2.44081,1.7464,1.91398,0.739151
755,2.37148,1.69919,1.86229,0.788304
756,2.31934,1.6651,1.87364,0.853798
757,2.29683,1.85726,1.85468,0.859541
758,1.95445,1.66873,1.59197,0.724065
759,1.9924,1.7067,1.56151,0.736356
760,2.10241,1.82243,1.79863,0.854966
761,2.42003,2.09459,2.13394,1.14405
762,2.55611,2.36002,2.36045,1.36063
763,2.80057,2.69085,2.56689,1.36873
764,3.15825,2.98435,2.83638,1.56109
765,3.41042,3.2929,3.05543,1.6347
766,3.3373,3.1203,3.09331,1.70413
767,3.57322,3.26612,3.40163,1.85027
768,3.37761,3.10826,3.35853,1.70979
769,3.15579,2.94034,3.16379,1.5297
770,2.87246,2.76149,2.99016,1.38136
771,2.64158,2.69107,2.87706,1.25539
772,2.16324,2.2449,2.49863,0.836477
773,1.99264,1.95986,2.20625,0.676541
774,1.76031,1.62035,1.88301,0.582725
775,1.63313,1.54542,1.81591,0.604952
776,1.68445,1.52597,1.75531,0.568994
777,1.78686,1.62931,1.59252,0.642783
778,1.67639,1.43879,1.51904,0.56202
779,1.81273,1.56205,1.55239,0.438099
780,1.78674,1.46776,1.48466,0.482426
781,1.89087,1.52094,1.54352,0.723059
782,1.81355,1.59072,1.65354,0.908188
783,1.93208,1.78307,1.85018,1.12848
784,1.93645,1.85147,1.96933,1.21348
785,2.01339,1.9449,2.03984,1.34219
786,2.08844,1.95801,2.21804,1.45733
787,2.33846,2.22353,2.39107,1.63521
788,2.35248,2.16019,2.47398,1.73432
789,2.47574,2.20634,2.41042,1.75881
790,2.56146,2.18725,2.48148,1.68076
791,2.7069,2.26481,2.56811,1.83512
792,2.34686,1.99536,2.36628,1.51898
793,2.5277,2.21169,2.47736,1.60853
794,2.36992,2.01884,2.24575,1.37601
795,2.44157,1.92405,2.21798,1.32459
796,2.34145,1.86424,2.11379,1.23687
797,2.20878,1.76823,2.10315,1.28994
798,2.24785,1.69283,2.0968,1.21452
799,2.25118,1.59678,1.99562,1.1478
800,2.16677,1.74451,2.18462,1.21259
