Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,α-M,α-M,α-M,α-M
experim,BL1,BL2,BL3,BL4
721,0.888215,1.43558,1.41826,0.996206
722,0.918274,1.43211,1.38741,0.975285
723,1.00744,1.43492,1.30824,0.887621
724,1.1337,1.5168,1.47247,0.910765
725,1.13332,1.62273,1.59942,0.979329
726,1.0542,1.73239,1.69255,0.95073
727,0.970892,1.72928,1.60501,1.04588
728,1.03936,1.87034,1.70823,1.05853
729,1.08238,1.86135,1.73033,1.0771
730,1.07015,1.76607,1.7722,1.15849
731,1.07785,1.63157,1.81878,1.26581
732,1.11523,1.7126,1.95388,1.32003
733,1.04186,1.5742,2.00033,1.31243
734,1.23603,1.69011,1.92755,1.2369
735,1.3676,1.56735,1.90053,1.25259
736,1.46777,1.60472,1.98659,1.15538
737,1.53525,1.50639,1.95757,1.18485
738,1.47753,1.5494,2.00407,1.22357
739,1.46732,1.52554,1.96857,1.16272
740,1.58133,1.61512,2.10694,1.0424
741,1.57776,1.59831,2.03728,0.986586
742,1.55041,1.53681,1.91808,1.01386
743,1.45127,1.47657,1.85926,1.03927
744,1.39979,1.32072,1.76739,1.09127
745,1.29864,1.30232,1.74535,1.14356
746,1.24262,1.08857,1.70645,1.21281
747,1.19338,1.09334,1.65136,1.18235
748,1.18893,1.05798,1.59766,1.15167
749,1.03556,1.08075,1.57488,1.17576
750,1.04222,0.942246,1.63475,1.17393
751,1.01995,0.986548,1.66777,1.20477
752,1.00393,1.0375,1.84796,1.19496
753,0.979709,1.13422,1.81123,1.19428
754,0.991647,1.12539,1.7912,1.1998
755,0.743344,1.13296,1.61848,1.17497
756,0.733051,1.22466,1.80074,1.15376
757,0.672023,1.08354,1.74212,1.10871
758,0.749193,1.04177,1.76171,1.04657
759,0.769888,1.12207,1.6402,1.01132
760,0.647739,1.10096,1.50339,1.03235
761,0.59996,1.13876,1.46561,0.922391
762,0.467722,1.0884,1.40532,0.858169
763,0.564989,1.28471,1.57512,0.858543
764,0.563817,1.28173,1.7294,0.921966
765,0.506081,1.25205,1.70738,0.959283
766,0.594859,1.27891,1.81603,1.05694
767,0.453761,1.35047,1.86911,1.12535
768,0.313549,1.26357,1.94461,1.13816
769,0.314911,1.13422,2.16091,1.06904
770,0.269834,1.08166,2.17985,1.02856
771,0.290694,1.13139,2.06093,1.054
772,0.141322,0.912084,1.95573,0.932912
773,0.269079,0.781405,1.78463,0.841353
774,0.210321,0.778093,1.57286,0.777926
775,0.280146,0.858744,1.45992,0.703814
776,0.112983,0.788716,1.32229,0.697138
777,0.113111,0.682514,1.2317,0.700256
778,0.12424,0.710941,1.07905,0.704683
779,0.045402,0.775425,0.89391,0.752925
780,0.0976028,0.781712,1.06661,0.829249
781,0.0355862,0.847543,1.19689,0.826715
